Ano,Código_IBGE,Magreza_total_%
2008,2905008,5.64
2008,2905107,5.1
2008,2905156,11.11
2008,2905206,10.2
2008,2905305,3.1
2008,2905404,4.4
2008,2905503,10.45
2008,2905602,4.8100000000000005
2008,2905701,9.469999999999999
2008,2905800,6.42
2008,2905909,7.74
2008,2906006,7.84
2008,2906105,0.0
2008,2906204,5.58
2008,2906303,4.62
2008,2906402,8.19
2008,2906501,3.79
2008,2906600,7.24
2008,2906709,2.64
2008,2906808,10.7
2008,2906824,7.35
2008,2906857,5.2
2008,2906873,26.830000000000002
2008,2906899,5.9399999999999995
2008,2906907,3.9699999999999998
2008,2907004,7.45
2008,2907103,5.4399999999999995
2008,2907202,6.39
2008,2907301,8.61
2008,2907400,61.809999999999995
2008,2907509,4.58
2008,2907558,5.89
2008,2907608,6.78
2008,2907707,3.6
2008,2907806,2.38
2008,2907905,6.76
2008,2908002,4.62
2008,2908101,3.01
2008,2908200,6.18
2008,2908309,5.880000000000001
2008,2908408,6.01
2008,2908507,3.1500000000000004
2008,2504603,5.9
2008,2908705,5.1
2008,2908804,5.94
2008,2908903,3.95
2008,2909000,8.92
2008,2909109,7.37
2008,2909208,53.57
2008,2909307,6.12
2008,2909406,7.3999999999999995
2008,2909505,0.0
2008,2909604,3.92
2008,2909703,7.13
2008,2909802,16.78
2008,2909901,4.45
2008,2910008,0.0
2008,2910057,4.87
2008,2910107,0.0
2008,2910206,0.0
2008,2910305,0.0
2008,2910404,3.3200000000000003
2008,2910503,4.31
2008,2900504,4.57
2008,2910602,5.54
2008,2910701,6.42
2008,2910727,3.5199999999999996
2008,1707553,9.41
2008,2910776,4.91
2008,2910800,21.35
2008,1707702,5.65
2008,2910909,5.569999999999999
2008,2911006,6.34
2008,2911105,14.29
2008,2911204,0.0
2008,2911253,8.9
2008,2911303,4.23
2008,2911402,4.84
2008,2911501,4.84
2008,2911600,6.05
2008,2911659,8.13
2008,2911709,5.67
2008,2911808,5.57
2008,2911857,7.6
2008,2911907,6.12
2008,2912004,7.53
2008,2912103,6.4
2008,2912202,3.04
2008,2912301,4.48
2008,2912400,4.62
2008,2912509,8.83
2008,2912608,2.59
2008,2912707,8.57
2008,2912806,0.0
2008,2912905,0.0
2008,2913002,2.52
2008,2913101,5.23
2008,2913200,4.93
2008,2913309,9.7
2008,2913408,3.08
2008,2913457,7.449999999999999
2008,2913507,15.2
2008,2913606,6.8999999999999995
2008,2913705,5.81
2008,2913804,7.2
2008,2913903,0.0
2008,2914000,4.550000000000001
2008,2914109,0.0
2008,2914208,6.91
2008,2914307,14.14
2008,2914406,3.83
2008,2914505,5.26
2008,2914604,3.9000000000000004
2008,2914653,5.78
2008,2914703,6.23
2008,2914802,4.84
2008,2914901,2.54
2008,2915007,1.74
2008,2915106,5.95
2008,2915205,3.33
2008,2915304,3.56
2008,2915353,10.870000000000001
2008,2915403,7.609999999999999
2008,2915502,3.99
2008,2915601,3.83
2008,2915700,5.9399999999999995
2008,2607653,14.030000000000001
2008,2915908,1.7
2008,2916005,4.13
2008,2916104,5.86
2008,2916203,11.63
2008,2916302,0.0
2008,2916401,6.17
2008,2916500,6.460000000000001
2008,2916609,6.67
2008,2916708,8.81
2008,2916807,7.76
2008,2916856,3.71
2008,2916906,0.0
2008,2917003,6.75
2008,2917102,3.21
2008,2917201,6.88
2008,2917300,1.59
2008,2917334,5.85
2008,2917359,4.35
2008,2917409,6.18
2008,2917508,4.66
2008,2917607,9.41
2008,2917706,6.56
2008,2917805,8.780000000000001
2008,2405108,9.06
2008,2918001,5.91
2008,2918100,14.88
2008,2918209,4.95
2008,2918308,2.12
2008,2918357,3.99
2008,2918407,4.57
2008,2918456,2.73
2008,2918506,5.51
2008,2918555,3.29
2008,2918605,5.48
2008,2918704,4.09
2008,2918753,5.550000000000001
2008,2918803,9.44
2008,2918902,100.0
2008,2919009,2.69
2008,2919058,0.15
2008,2919108,4.07
2008,2919157,5.77
2008,2919207,5.57
2008,2919306,4.41
2008,2919405,5.989999999999999
2008,2919504,42.88
2008,2919553,12.9
2008,2919603,5.17
2008,2919702,7.15
2008,2919801,0.0
2008,2919900,7.39
2008,2919926,6.8999999999999995
2008,2919959,6.21
2008,2920007,6.73
2008,2920106,4.88
2008,2920205,6.65
2008,2920304,5.75
2008,2920403,55.52
2008,2920452,11.399999999999999
2008,2920502,3.31
2008,2920601,3.45
2008,2920700,4.88
2008,2920809,4.3100000000000005
2008,2920908,5.28
2008,2921005,4.1
2008,2921054,4.28
2008,2921104,0.92
2008,2921203,4.46
