Ano,Região,UF,Código do Município,Nome do Município,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2016,Norte,TO,1701002,Ananás,Rural,Pública,95.9,4.1,0.0
2016,Norte,TO,1701051,Angico,Rural,Pública,--,--,--
2016,Norte,TO,1701309,Aragominas,Rural,Pública,--,--,--
2016,Norte,TO,1701903,Araguacema,Rural,Pública,--,--,--
2016,Norte,TO,1702000,Araguaçu,Rural,Pública,--,--,--
2016,Norte,TO,1702109,Araguaína,Rural,Pública,--,--,--
2016,Norte,TO,1702158,Araguanã,Rural,Pública,--,--,--
2016,Norte,TO,1702208,Araguatins,Rural,Pública,89.1,10.3,0.6
2016,Norte,TO,1702406,Arraias,Rural,Pública,96.0,3.3,0.7
2016,Norte,TO,1702554,Augustinópolis,Rural,Pública,--,--,--
2016,Norte,TO,1702901,Axixá do Tocantins,Rural,Pública,--,--,--
2016,Norte,TO,1703008,Babaçulândia,Rural,Pública,--,--,--
2016,Norte,TO,1703057,Bandeirantes do Tocantins,Rural,Pública,--,--,--
2016,Norte,TO,1703073,Barra do Ouro,Rural,Pública,96.3,0.0,3.7
2016,Norte,TO,1703206,Bernardo Sayão,Rural,Pública,--,--,--
2016,Norte,TO,1703305,Bom Jesus do Tocantins,Rural,Pública,--,--,--
2016,Norte,TO,1703701,Brejinho de Nazaré,Rural,Pública,--,--,--
2016,Norte,TO,1703800,Buriti do Tocantins,Rural,Pública,86.1,11.5,2.4
2016,Norte,TO,1703842,Campos Lindos,Rural,Pública,--,--,--
2016,Norte,TO,1703891,Carrasco Bonito,Rural,Pública,83.0,8.5,8.5
2016,Norte,TO,1703909,Caseara,Rural,Pública,--,--,--
2016,Norte,TO,1704105,Centenário,Rural,Pública,--,--,--
2016,Norte,TO,1705102,Chapada da Natividade,Rural,Pública,--,--,--
2016,Norte,TO,1705508,Colinas do Tocantins,Rural,Pública,93.9,6.1,0.0
2016,Norte,TO,1705607,Conceição do Tocantins,Rural,Pública,--,--,--
2016,Norte,TO,1706001,Couto Magalhães,Rural,Pública,83.3,8.3,8.4
2016,Norte,TO,1706258,Crixás do Tocantins,Rural,Pública,--,--,--
2016,Norte,TO,1706506,Darcinópolis,Rural,Pública,--,--,--
2016,Norte,TO,1707009,Dianópolis,Rural,Pública,70.2,27.3,2.5
2016,Norte,TO,1707207,Dois Irmãos do Tocantins,Rural,Pública,--,--,--
2016,Norte,TO,1707405,Esperantina,Rural,Pública,77.7,17.3,5.0
2016,Norte,TO,1707702,Filadélfia,Rural,Pública,--,--,--
2016,Norte,TO,1708205,Formoso do Araguaia,Rural,Pública,78.8,3.0,18.2
2016,Norte,TO,1708254,Fortaleza do Tabocão,Rural,Pública,--,--,--
2016,Norte,TO,1708304,Goianorte,Rural,Pública,--,--,--
2016,Norte,TO,1709005,Goiatins,Rural,Pública,79.4,12.2,8.4
2016,Norte,TO,1709302,Guaraí,Rural,Pública,--,--,--
2016,Norte,TO,1709500,Gurupi,Rural,Pública,--,--,--
2016,Norte,TO,1709807,Ipueiras,Rural,Pública,--,--,--
2016,Norte,TO,1710508,Itacajá,Rural,Pública,74.9,21.1,4.0
2016,Norte,TO,1710706,Itaguatins,Rural,Pública,--,--,--
2016,Norte,TO,1710904,Itapiratins,Rural,Pública,--,--,--
