Código_IBGE,Ano,Populacao,Magreza_total_%,PIB,Poverty_%,Unemployed_%
3127305,2020,6790,5.84,32066.73,17.06,12.475
3113602,2020,6792,6.35,32066.73,17.06,12.475
3116308,2020,6799,3.64,32066.73,17.06,12.475
3117876,2020,6800,0.96,32066.73,17.06,12.475
3138005,2020,6833,4.96,32066.73,17.06,12.475
3138005,2020,6833,0.51,32066.73,17.06,12.475
3164605,2020,6863,3.3,32066.73,17.06,12.475
3122355,2020,6868,5.08,32066.73,17.06,12.475
3112406,2020,6890,2.41,32066.73,17.06,12.475
3103751,2020,6931,1.92,32066.73,17.06,12.475
3130556,2020,6940,3.24,32066.73,17.06,12.475
3163805,2020,6944,5.35,32066.73,17.06,12.475
3130705,2020,6951,3.42,32066.73,17.06,12.475
3130705,2020,6951,1.6900000000000002,32066.73,17.06,12.475
3118205,2020,6969,2.37,32066.73,17.06,12.475
3101631,2020,6981,1.47,32066.73,17.06,12.475
3109451,2020,6988,3.93,32066.73,17.06,12.475
3165404,2020,6989,2.85,32066.73,17.06,12.475
3165107,2020,7000,3.4,32066.73,17.06,12.475
3100104,2020,7006,1.28,32066.73,17.06,12.475
3157104,2020,7012,5.5600000000000005,32066.73,17.06,12.475
3131604,2020,7027,3.59,32066.73,17.06,12.475
3115706,2020,7046,7.25,32066.73,17.06,12.475
3128808,2020,7051,5.25,32066.73,17.06,12.475
3144359,2020,7051,4.29,32066.73,17.06,12.475
3158300,2020,7073,0.54,32066.73,17.06,12.475
3164308,2020,7076,2.82,32066.73,17.06,12.475
3138906,2020,7111,4.82,32066.73,17.06,12.475
3165206,2020,7120,3.45,32066.73,17.06,12.475
3148756,2020,7128,6.34,32066.73,17.06,12.475
3121209,2020,7131,3.65,32066.73,17.06,12.475
3170750,2020,7138,2.24,32066.73,17.06,12.475
3154150,2020,7201,0.0,32066.73,17.06,12.475
3123809,2020,7241,4.76,32066.73,17.06,12.475
3121407,2020,7255,5.0,32066.73,17.06,12.475
3159357,2020,7268,3.08,32066.73,17.06,12.475
3160454,2020,7297,4.71,32066.73,17.06,12.475
3166303,2020,7333,3.4000000000000004,32066.73,17.06,12.475
3130655,2020,7339,5.28,32066.73,17.06,12.475
3130606,2020,7358,2.84,32066.73,17.06,12.475
3101805,2020,7436,3.31,32066.73,17.06,12.475
3162609,2020,7444,3.29,32066.73,17.06,12.475
3135605,2020,7468,2.84,32066.73,17.06,12.475
3162948,2020,7480,7.58,32066.73,17.06,12.475
3145059,2020,7497,4.09,32066.73,17.06,12.475
3162203,2020,7498,3.19,32066.73,17.06,12.475
3125606,2020,7504,5.5,32066.73,17.06,12.475
3116506,2020,7514,3.56,32066.73,17.06,12.475
3150570,2020,7524,5.82,32066.73,17.06,12.475
3126000,2020,7533,4.83,32066.73,17.06,12.475
3142403,2020,7554,1.64,32066.73,17.06,12.475
3131109,2020,7560,3.75,32066.73,17.06,12.475
3138625,2020,7589,2.85,32066.73,17.06,12.475
3158508,2020,7589,4.28,32066.73,17.06,12.475
3116704,2020,7594,2.64,32066.73,17.06,12.475
3137106,2020,7600,3.06,32066.73,17.06,12.475
3121803,2020,7609,4.88,32066.73,17.06,12.475
3122207,2020,7614,4.1,32066.73,17.06,12.475
3166907,2020,7668,1.95,32066.73,17.06,12.475
3117836,2020,7686,5.08,32066.73,17.06,12.475
3134806,2020,7691,2.3,32066.73,17.06,12.475
3164001,2020,7706,4.2,32066.73,17.06,12.475
3106408,2020,7719,6.96,32066.73,17.06,12.475
