Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,1503804,70.5,5,24.5,1810, 36 ,1,50
2008,1503903,66.6,5.4,28,2120, 36 ,2,51
2008,1504000,79.3,8.3,12.4,458, 27 ,2,12
2008,1504059,66.5,10.6,22.9,1511, 39 ,1,39
2008,1504109,85.2,3.9,10.9,460, 33 ,1,15
2008,1504208,68.9,6,25.1,11199, 296 ,19,312
2008,1504307,72.1,3.7,24.2,1484, 38 ,1,40
2008,1504406,73.9,5.3,20.8,1001, 32 ,1,30
2008,1504422,60.7,10.3,29,5881, 151 ,7,142
2008,1504455,84.1,1.1,14.8,801, 18 ,1,30
2008,1504505,71.3,11.6,17.1,266, 11 ,1,8
2008,1504604,67.9,15.4,16.7,1280, 27 ,1,27
2008,1504703,71.8,1,27.2,2285, 49 ,3,68
2008,1504802,80,3.4,16.6,2782, 84 ,3,90
2008,1504901,83.2,2.5,14.3,1151, 17 ,1,32
2008,1504950,40.8,14.5,44.7,525, 11 ,1,16
2008,1504976,81.2,15.9,2.9,316, 13 ,1,12
2008,1505007,57.5,17.6,24.9,636, 21 ,1,18
2008,1505031,57.9,11.2,30.9,820, 19 ,1,25
2008,1505064,71.3,6.8,21.9,1647, 43 ,1,52
2008,1505106,74.8,10.1,15.1,2650, 69 ,1,85
2008,1505205,85.7,3.2,11.1,599, 10 ,1,21
2008,1505304,66.4,10.8,22.8,2950, 89 ,2,78
2008,1505403,69.8,8.1,22.1,815, 27 ,2,21
2008,1505437,69.1,3.5,27.4,939, 17 ,1,22
2008,1505486,82.3,1.9,15.8,1042, 24 ,1,28
2008,1505494,71.1,3.7,25.2,387, 9 ,1,14
2008,1505502,65.3,12,22.7,3449, 87 ,3,102
2008,1505536,65.1,6.9,28,6415, 144 ,7,156
2008,1505551,79.9,2.1,18,343, 9 ,1,9
2008,1505601,73.1,22.9,4,337, 12 ,1,11
2008,1505635,72.4,4.3,23.3,438, 12 ,1,17
2008,1505650,76.2,0.4,23.4,497, 17 ,1,16
2008,1505700,70.1,3,26.9,945, 28 ,2,29
2008,1505809,60.6,11.6,27.8,1257, 28 ,2,34
2008,1505908,64.1,13.7,22.2,717, 13 ,1,20
2008,1506005,81.2,2.8,16,893, 16 ,1,29
2008,1506104,75,2.1,22.9,550, 21 ,1,15
