Ano,Código_IBGE,Aprovação_Rural,Aprovação_Urbana,Reprovação_Rural,Reprovação_Urbana,Abandono_Rural,Abandono_Urbana,Matrículas_Rural,Matrículas_Urbana,Docentes_Rural,Docentes_Urbana,Estabelecimentos_Rural,Estabelecimentos_Urbana,Turmas_Rural,Turmas_Urbana
2008,1721000,83.7,77.1,1.1,8.8,15.2,14.1,92,10245, 12 , 516 ,1,21,5,313
2008,1721109,72.4,77.5,8.6,3.8,19,18.7,58,310, 12 , 25 ,1,1,3,11
2008,1721208,74.7,71.8,0,12.8,25.3,15.4,79,1390, 19 , 54 ,2,3,6,41
2008,2100055,71.9,76.5,6.5,7.4,21.6,16.1,1201,4396, 70 , 180 ,8,8,36,111
2008,2100154,90.2,84.6,4.1,1.3,5.7,14.1,247,299, 17 , 18 ,2,2,9,7
2008,2100204,74.1,50.4,0,28.1,25.9,21.5,108,605, 16 , 34 ,2,2,3,15
2008,2100303,68.4,83.3,0,5.1,31.6,11.6,19,593, 3 , 35 ,1,1,1,16
2008,2100402,76.6,89.4,0,1,23.4,9.6,96,411, 8 , 34 ,1,2,4,15
2008,2100477,83.4,80.7,4.5,7.1,12.1,12.2,1006,759, 45 , 28 ,6,1,28,17
2008,2100600,76.9,64.7,2.7,12.2,20.4,23.1,190,1146, 35 , 39 ,5,3,10,26
2008,2100709,79.8,78.7,4.7,4.3,15.5,17,677,678, 51 , 36 ,7,1,27,20
2008,2100808,88.4,84.4,0,4.4,11.6,11.2,328,740, 22 , 40 ,2,3,11,22
2008,2100907,75.7,59.5,1.9,5.9,22.4,34.6,1177,941, 79 , 52 ,5,3,37,26
2008,2100956,44,73.8,0,6.2,56,20,25,792, 11 , 31 ,2,2,3,20
2008,2101202,84.5,71.5,2.6,8.5,12.9,20,432,4137, 31 , 203 ,5,8,17,112
2008,2101251,65.3,62.4,11.7,14.2,23,23.4,307,475, 21 , 24 ,1,1,9,12
2008,2101301,86.7,69.4,2.8,7.5,10.5,23.1,353,752, 13 , 34 ,3,2,12,18
2008,2101509,91.7,87.3,0,3.1,8.3,9.6,147,638, 11 , 44 ,1,2,6,20
2008,2101608,88.7,83.3,4.5,3.3,6.8,13.4,1184,3027, 62 , 137 ,12,7,41,92
2008,2101731,85.7,85.7,1,0.3,13.3,14,104,300, 8 , 12 ,2,1,4,7
2008,2101939,81.6,79.4,6.1,7,12.3,13.6,119,240, 7 , 19 ,1,1,4,8
2008,2102002,45.8,72.5,0,3.2,54.2,24.3,24,990, 4 , 45 ,1,2,1,24
2008,2102036,52.2,81.6,9.8,3.7,38,14.7,95,660, 6 , 36 ,1,2,3,19
2008,2102150,83.5,72,0,4.2,16.5,23.8,133,170, 10 , 8 ,1,1,6,5
2008,2102200,81.3,83.8,2,3,16.7,13.2,201,1074, 22 , 55 ,3,3,11,31
2008,2102325,74.6,71.3,9.9,5.5,15.5,23.2,694,1968, 21 , 71 ,3,3,15,40
2008,2102358,75.8,73.8,7.7,3.5,16.5,22.7,316,439, 14 , 24 ,2,2,10,14
2008,2102408,71.6,72.8,1.7,7.4,26.7,19.8,233,475, 12 , 29 ,1,1,7,13
2008,2102507,62.8,84.7,19.2,2.1,18,13.2,85,390, 6 , 19 ,1,1,4,12
2008,2102606,86.4,79.8,1.9,1.5,11.7,18.7,121,1032, 8 , 38 ,2,2,4,27
2008,2102754,82.5,63.2,1.8,11,15.7,25.8,116,387, 8 , 19 ,1,1,4,11
2008,2102804,82.2,83.4,5.5,7.2,12.3,9.4,90,941, 5 , 42 ,1,2,3,26
2008,2102903,76.6,68.1,9.9,15.5,13.5,16.4,171,995, 10 , 46 ,1,3,6,29
2008,2103000,93.3,75.4,4.4,10.8,2.3,13.8,564,7079, 65 , 397 ,6,11,24,205
2008,2103174,80.3,79.9,2.7,4.2,17,15.9,408,292, 33 , 15 ,4,1,17,9
2008,2103208,55.3,78.2,0,4.5,44.7,17.3,171,2822, 19 , 123 ,2,4,8,72
2008,2103257,74.1,78.4,8.9,8.7,17,12.9,138,571, 5 , 25 ,1,1,3,15
2008,2103307,85.2,66.6,8.4,9.1,6.4,24.3,431,4436, 37 , 208 ,2,9,13,116
2008,2103505,70.7,85,6.7,3.2,22.6,11.8,236,1633, 17 , 88 ,3,5,9,45
2008,2103554,89.8,78.8,2.3,4.6,7.9,16.6,91,308, 6 , 21 ,1,2,3,11
2008,2103604,75.2,73.8,4,3.6,20.8,22.6,250,2328, 23 , 123 ,4,6,13,66
