Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,2305001,94.3,1.4,4.3,70, 8 ,1,3
2008,2305506,78.9,14.5,6.6,413, 27 ,1,12
2008,2306306,100,0,0,0, -   ,0,0
2008,2306553,64.9,21.6,13.5,37, 12 ,1,2
2008,2306900,91.1,0,8.9,113, 6 ,1,4
2008,2307700,65.4,18.7,15.9,869, 26 ,1,18
2008,2311306,74.3,0,25.7,339, 17 ,1,13
2008,2311405,70.7,9.3,20,379, 13 ,1,10
2008,2312304,90.4,0.6,9,181, 7 ,1,7
2008,2312908,83.8,3.8,12.4,480, 20 ,1,15
2008,2313609,91.6,1.5,6.9,213, 10 ,1,6
2008,2401008,81.5,6.2,12.3,66, 8 ,1,3
2008,2402600,65.6,12.1,22.3,229, 9 ,1,7
2008,2403251,47.2,6.5,46.3,126, 6 ,1,3
2008,2403608,99.2,0.8,0,268, 10 ,1,5
2008,2404507,0,100,0,0, -   ,0,0
2008,2404705,73.8,9.9,16.3,448, 46 ,3,14
2008,2407104,66.6,11,22.4,692, 77 ,6,24
2008,2408003,67.4,2.7,29.9,266, 12 ,1,7
2008,2408953,66.5,5.3,28.2,266, 12 ,1,6
2008,2412005,40.6,12.5,46.9,32, 7 ,1,1
2008,2412203,80.8,0,19.2,151, 9 ,1,6
2008,2501401,77.6,0,22.4,172, 14 ,1,6
2008,2501500,85.3,0,14.7,276, 50 ,1,9
2008,2502805,68.8,9,22.2,341, 24 ,1,12
2008,2504009,62.3,17.9,19.8,231, 25 ,3,10
2008,2504306,87,6.5,6.5,191, 28 ,1,6
2008,2506400,68.5,7.4,24.1,54, 6 ,1,2
2008,2506806,78.9,6,15.1,134, 14 ,2,6
2008,2508505,100,0,0,0, -   ,0,0
2008,2511103,55.3,0,44.7,85, 7 ,1,3
2008,2511905,78.3,10.9,10.8,141, 10 ,1,4
2008,2512408,46.5,23.3,30.2,58, 5 ,1,1
2008,2513109,81.5,0,18.5,66, 5 ,1,2
2008,2515005,62.5,12.5,25,8, 3 ,1,1
2008,2516201,68.5,4,27.5,296, 30 ,3,12
2008,2516607,81.9,0,18.1,99, 5 ,1,3
2008,2516904,100,0,0,18, 6 ,1,1
2008,2600401,68.2,2,29.8,149, 11 ,1,6
2008,2600500,55.9,17.6,26.5,175, 13 ,1,4
2008,2600708,59.3,7.4,33.3,85, 17 ,1,5
2008,2601409,80.1,10.8,9.1,749, 53 ,3,26
2008,2601607,99.5,0.5,0,186, 9 ,1,7
2008,2601706,92.8,5.7,1.5,360, 13 ,1,9
2008,2601805,87.7,8.8,3.5,268, 21 ,1,9
2008,2602209,78.5,6.5,15,416, 19 ,1,11
2008,2602902,73.7,3.2,23.1,1436, 41 ,1,35
2008,2603454,73.8,12.1,14.1,1886, 88 ,4,47
2008,2604205,74.2,4.3,21.5,344, 28 ,2,11
2008,2605152,87.7,3,9.3,205, 6 ,1,6
2008,2605806,75.9,7.5,16.6,223, 17 ,1,8
