UF,Município,Código IBGE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,Igreja Nova,2703205,4335341.0600000005,6367013.46,7817264.3,8449635.120000001,11840297.29,12228317.67,12846205.92,14472478.51,15302591.95,16798215.240000002,15555097.59,18725125.349999998,20143243.46,19145806.240000002,25992699.71,41703943.0,26481976.18
AL,Inhapi,2703304,4061363.25,5189785.48,5878887.75,8451831.4,11315963.52,12840738.25,9482517.46,10360085.81,11035768.4,12388648.58,11064506.33,12744513.61,13407003.94,13183550.379999999,16842970.919999998,37169003.550000004,28080009.16
AL,Jacaré dos Homens,2703403,1656066.27,2336396.38,2628332.17,2963311.58,4136564.18,4228390.57,4524350.5,5313326.390000001,5371145.3,6043558.76,5133030.91,6954308.199999999,7797009.34,7555207.21,10326193.33,15492177.22,9291417.14
AL,Jacuípe,2703502,1972150.9600000002,2623964.94,2855388.5,3114358.24,3924594.25,3816929.37,4042439.75,4614522.37,5534030.06,6363333.09,6557615.39,7395360.889999999,8446959.42,8262240.72,11008718.52,15078920.860000001,8843605.950000001
AL,Japaratinga,2703601,2064783.8399999999,2705500.37,3113097.88,3577891.19,4270555.44,4419862.16,4432693.61,5009052.87,5525956.4,6255488.76,5959044.11,6903708.109999999,8205719.239999999,8724651.43,11242415.59,13446025.0,8346445.220000001
AL,Jaramataia,2703700,1598133.65,2068379.57,2381774.4899999998,2650357.77,3178216.09,3961144.1,3842944.69,4443015.71,5257699.92,5582537.28,4898651.01,5833163.46,5840372.8,5690371.66,9528878.98,8982561.59,4722896.899999999
AL,Jequiá da Praia,2703759,4053581.5300000003,5012178.67,5499616.6,6282652.0,8241769.250000001,8425391.35,8692031.35,9239690.55,9800097.57,10227755.87,8830734.46,10315539.040000001,10477673.73,9867689.7,12168833.870000001,15781252.889999999,10195919.99
AL,Joaquim Gomes,2703809,4212386.4,5974303.69,7827141.7,8828171.68,11301312.05,12109649.89,13165853.36,13908185.4,15321477.479999999,15706631.8,15650757.46,16682858.42,17542809.54,15999644.870000001,19284187.35,21635865.419999998,13460012.44
AL,Jundiá,2703908,1169277.29,1624694.97,1986758.75,2153428.01,2717360.85,2605788.6,2693320.52,3658188.79,4193780.0100000002,4725492.9799999995,4269137.71,5326808.58,5233335.84,4838127.38,5311075.220000001,11376373.17,9424418.15
AL,Junqueiro,2704005,6457041.0200000005,8477866.290000001,9712475.42,11587639.47,14570263.31,15162633.53,16527570.09,18255249.77,19444914.43,20100218.16,19134004.96,21726274.009999998,23489918.61,21904957.62,26875598.76,39061912.4,24995096.93
