Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
26,Pernambuco,PE,2606309,Granito,Nordeste,-7.716652,-39.616187
26,Pernambuco,PE,2606408,Gravatá,Nordeste,-8.199305,-35.563114
26,Pernambuco,PE,2606507,Iati,Nordeste,-9.042667,-36.84668
26,Pernambuco,PE,2606606,Ibimirim,Nordeste,-8.537926,-37.694138
26,Pernambuco,PE,2606705,Ibirajuba,Nordeste,-8.579552,-36.178045
26,Pernambuco,PE,2606804,Igarassu,Nordeste,-7.835442,-34.906113
26,Pernambuco,PE,2606903,Iguaracy,Nordeste,-7.836341,-37.514041
26,Pernambuco,PE,2607000,Inajá,Nordeste,-8.901121,-37.824419
26,Pernambuco,PE,2607109,Ingazeira,Nordeste,-7.677311,-37.45989
26,Pernambuco,PE,2607208,Ipojuca,Nordeste,-8.398077,-35.061107
26,Pernambuco,PE,2607307,Ipubi,Nordeste,-7.653533,-40.149408
26,Pernambuco,PE,2607406,Itacuruba,Nordeste,-8.726788,-38.686884
26,Pernambuco,PE,2607505,Itaíba,Nordeste,-8.945612,-37.420432
26,Pernambuco,PE,2607604,Ilha de Itamaracá,Nordeste,-7.747664,-34.830319
26,Pernambuco,PE,2607653,Itambé,Nordeste,-7.410851,-35.10967
26,Pernambuco,PE,2607703,Itapetim,Nordeste,-7.377426,-37.188803
26,Pernambuco,PE,2607752,Itapissuma,Nordeste,-7.767983,-34.897136
26,Pernambuco,PE,2607802,Itaquitinga,Nordeste,-7.664257,-35.102362
26,Pernambuco,PE,2607901,Jaboatão dos Guararapes,Nordeste,-8.175248,-34.946872
26,Pernambuco,PE,2607950,Jaqueira,Nordeste,-8.036,-34.9026
26,Pernambuco,PE,2608008,Jataúba,Nordeste,-7.986054,-36.498012
26,Pernambuco,PE,2608057,Jatobá,Nordeste,-9.183235,-38.267205
26,Pernambuco,PE,2608107,João Alfredo,Nordeste,-7.860875,-35.591575
26,Pernambuco,PE,2608206,Joaquim Nabuco,Nordeste,-8.623319,-35.526411
26,Pernambuco,PE,2608255,Jucati,Nordeste,-8.706583,-36.48705
26,Pernambuco,PE,2608305,Jupi,Nordeste,-8.711468,-36.417448
26,Pernambuco,PE,2608404,Jurema,Nordeste,-8.71891,-36.137365
