Ano,Região,UF,Código do Município,Nome do Município,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2022,Norte,PA,1505494,Palestina do Pará,Rural,Pública,--,--,--
2022,Norte,PA,1505502,Paragominas,Rural,Pública,--,--,--
2022,Norte,PA,1505536,Parauapebas,Rural,Pública,74.4,6.2,19.4
2022,Norte,PA,1505551,Pau D'Arco,Rural,Pública,--,--,--
2022,Norte,PA,1505601,Peixe-Boi,Rural,Pública,83.5,0.0,16.5
2022,Norte,PA,1505635,Piçarra,Rural,Pública,--,--,--
2022,Norte,PA,1505650,Placas,Rural,Pública,--,--,--
2022,Norte,PA,1505700,Ponta de Pedras,Rural,Pública,--,--,--
2022,Norte,PA,1505809,Portel,Rural,Pública,--,--,--
2022,Norte,PA,1505908,Porto de Moz,Rural,Pública,--,--,--
2022,Norte,PA,1506005,Prainha,Rural,Pública,75.9,20.7,3.4
2022,Norte,PA,1506104,Primavera,Rural,Pública,--,--,--
2022,Norte,PA,1506112,Quatipuru,Rural,Pública,66.7,19.5,13.8
2022,Norte,PA,1506138,Redenção,Rural,Pública,--,--,--
2022,Norte,PA,1506161,Rio Maria,Rural,Pública,--,--,--
2022,Norte,PA,1506187,Rondon do Pará,Rural,Pública,--,--,--
2022,Norte,PA,1506195,Rurópolis,Rural,Pública,85.6,13.8,0.6
2022,Norte,PA,1506203,Salinópolis,Rural,Pública,--,--,--
2022,Norte,PA,1506302,Salvaterra,Rural,Pública,--,--,--
2022,Norte,PA,1506351,Santa Bárbara do Pará,Rural,Pública,85.3,11.9,2.8
2022,Norte,PA,1506401,Santa Cruz do Arari,Rural,Pública,82.3,17.7,0.0
2022,Norte,PA,1506500,Santa Izabel do Pará,Rural,Pública,80.6,0.6,18.8
2022,Norte,PA,1506559,Santa Luzia do Pará,Rural,Pública,--,--,--
2022,Norte,PA,1506583,Santa Maria das Barreiras,Rural,Pública,--,--,--
2022,Norte,PA,1506609,Santa Maria do Pará,Rural,Pública,84.5,7.8,7.7
2022,Norte,PA,1506708,Santana do Araguaia,Rural,Pública,50.0,8.7,41.3
2022,Norte,PA,1506807,Santarém,Rural,Pública,85.6,5.1,9.3
2022,Norte,PA,1506906,Santarém Novo,Rural,Pública,--,--,--
2022,Norte,PA,1507003,Santo Antônio do Tauá,Rural,Pública,--,--,--
2022,Norte,PA,1507102,São Caetano de Odivelas,Rural,Pública,--,--,--
2022,Norte,PA,1507151,São Domingos do Araguaia,Rural,Pública,--,--,--
2022,Norte,PA,1507201,São Domingos do Capim,Rural,Pública,88.5,3.8,7.7
2022,Norte,PA,1507300,São Félix do Xingu,Rural,Pública,60.6,26.4,13.0
2022,Norte,PA,1507409,São Francisco do Pará,Rural,Pública,--,--,--
2022,Norte,PA,1507458,São Geraldo do Araguaia,Rural,Pública,80.6,8.8,10.6
2022,Norte,PA,1507466,São João da Ponta,Rural,Pública,--,--,--
2022,Norte,PA,1507474,São João de Pirabas,Rural,Pública,--,--,--
2022,Norte,PA,1507508,São João do Araguaia,Rural,Pública,--,--,--
2022,Norte,PA,1507607,São Miguel do Guamá,Rural,Pública,--,--,--
2022,Norte,PA,1507706,São Sebastião da Boa Vista,Rural,Pública,--,--,--
2022,Norte,PA,1507755,Sapucaia,Rural,Pública,--,--,--
2022,Norte,PA,1507805,Senador José Porfírio,Rural,Pública,--,--,--
